UserID,Mood,Engagement,EngagementDelta,Reflection,Domain,Skills,Experience,Availability,TrueSupport
User_0001,2.8,0.11,-0.28,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Research, Time Management, Writing, Presentation",Beginner,Flexible,Emotional
User_0002,3.4,0.1,-0.1,Today was hard. I felt very lonely and couldn't concentrate.,Data Science,"Presentation, Project Management, Time Management",Advanced,"Night, Afternoon, Flexible",Emotional
User_0003,4.2,0.55,-0.03,I know what I need to do but I just can't get myself started.,Biology,"Research, Programming, Problem Solving",Expert,Morning,Motivational
User_0004,9.3,0.85,0.17,Today was balanced. Making good progress overall.,Data Science,"Time Management, Data Analysis",Advanced,Weekends,None
User_0005,1.8,0.32,-0.21,I don't feel motivated at all and keep withdrawing from activities.,Computer Science,"Programming, Communication, Statistics",Expert,Morning,Emotional
User_0006,5.2,0.34,0.04,I want to improve but can't find the motivation to push forward.,Engineering,"Presentation, Project Management, Teamwork, Statistics",Intermediate,"Flexible, Afternoon, Weekends",Motivational
User_0007,4.5,0.58,0.03,"I feel neutral — not bad, just stuck and unmotivated.",Computer Science,"Teamwork, Python, Programming",Beginner,"Night, Evening",Motivational
User_0008,5.7,0.3,-0.13,I need a study partner who can explain things differently.,Physics,"Time Management, Project Management, Leadership, Writing, Communication",Advanced,Afternoon,Academic
User_0009,4.6,0.5,-0.14,I'm struggling to understand the core concepts in my coursework.,Psychology,"Statistics, Programming, Python, Time Management, Writing",Expert,"Afternoon, Night, Morning",Academic
User_0010,1.0,0.35,-0.12,I've been struggling with anxiety and can't focus on anything.,Data Science,"Programming, Project Management, Problem Solving, Statistics",Expert,"Night, Afternoon",Emotional
User_0011,2.8,0.27,-0.27,I don't feel motivated at all and keep withdrawing from activities.,Biology,"Writing, Problem Solving, Programming",Beginner,Weekends,Emotional
User_0012,6.0,0.59,-0.04,I keep procrastinating and need someone to hold me accountable.,Engineering,"Research, Machine Learning",Expert,Morning,Motivational
User_0013,5.6,0.29,-0.12,I need a study partner who can explain things differently.,Physics,"Communication, Critical Thinking, Machine Learning",Intermediate,"Afternoon, Weekends",Academic
User_0014,8.4,0.6,0.14,Things are going okay. Just checking in today.,Data Science,"Statistics, Research, Teamwork, Time Management, Problem Solving",Intermediate,Weekends,None
User_0015,4.3,0.32,-0.14,I don't understand how to approach the research methodology.,Mathematics,"Teamwork, Problem Solving",Intermediate,Weekends,Academic
User_0016,6.1,0.17,-0.12,I failed my last assignment and don't know where to improve.,Physics,"Research, Statistics, Teamwork, Project Management, Data Analysis",Expert,"Night, Flexible",Academic
User_0017,1.4,0.16,-0.18,Everything seems too much. I feel isolated and exhausted.,Literature,"Programming, Teamwork, Statistics, Research",Expert,Afternoon,Emotional
User_0018,7.6,0.79,0.17,Things are going okay. Just checking in today.,Data Science,"Python, Project Management",Intermediate,"Morning, Flexible, Afternoon",None
User_0019,4.0,0.25,-0.06,I'm struggling to understand the core concepts in my coursework.,Literature,"Data Analysis, Communication",Expert,"Evening, Night",Academic
User_0020,6.1,0.27,-0.14,I want to improve but can't find the motivation to push forward.,Computer Science,"Machine Learning, Leadership",Beginner,"Weekends, Afternoon, Morning",Motivational
User_0021,6.8,0.89,0.05,Pretty good day. Focused and productive.,Mathematics,"Machine Learning, Time Management, Python",Advanced,"Morning, Night, Evening",None
User_0022,5.0,0.2,-0.18,I failed my last assignment and don't know where to improve.,Biology,"Problem Solving, Programming, Statistics, Python, Leadership",Intermediate,"Weekends, Morning, Flexible",Academic
User_0023,5.5,0.34,-0.06,I failed my last assignment and don't know where to improve.,Business,"Writing, Leadership, Critical Thinking, Presentation",Beginner,"Weekends, Flexible",Academic
