"UserID","Mood","Engagement","PrevEngagement","Reflection","Domain","Skills","Availability","ExperienceLevel","Profile"
"User_001","4","0.62","0.48","My performance was moderate. I need to push a bit more.","Biology","Machine Learning|Statistics|Mentoring","Weekends|Morning|Flexible","Expert","neutral"
"User_002","8","0.83","0.92","I feel confident and ready to tackle the challenges ahead.","Data Science","Machine Learning|Mentoring|Public Speaking","Night|Afternoon|Flexible","Advanced","positive"
"User_003","8","0.89","0.77","Things are going well. I feel supported and engaged.","Mathematics","Leadership|Mathematics|Communication","Morning","Expert","positive"
"User_004","3","0.37","0.47","I am frustrated and feel like giving up on my goals.","Data Science","Public Speaking|Critical Thinking","Weekends","Advanced","negative"
"User_005","6","0.57","0.53","I completed the work but did not feel particularly engaged.","Computer Science","Mathematics|Research|Statistics","Flexible","Beginner","neutral"
"User_006","6","0.45","0.35","I managed my tasks but my focus was slightly off.","Biology","Machine Learning|Mentoring|Project Management|Statistics","Weekdays|Afternoon|Weekends","Intermediate","neutral"
"User_007","5","0.61","0.73","It was an average day. Nothing special happened.","Biology","Mathematics|Communication","Evening|Morning","Intermediate","neutral"
"User_008","6","0.46","0.58","Today was fine but I could be more productive.","Education","Writing|Research|Public Speaking|Leadership|Data Analysis","Evening|Weekdays|Weekends","Expert","neutral"
"User_009","5","0.7","0.67","I am okay but could use some guidance on next steps.","Data Science","Statistics|Mathematics|Python|Public Speaking|Writing","Afternoon|Weekdays|Night","Beginner","neutral"
"User_010","7","0.56","0.41","It was an average day. Nothing special happened.","Psychology","Mathematics|Mentoring|Communication|Statistics","Night|Afternoon","Expert","neutral"
"User_011","3","0.44","0.34","I have been withdrawing from group activities lately.","Data Science","Project Management|Mentoring","Flexible|Weekdays","Intermediate","negative"
"User_012","1","0.29","0.4","I am frustrated and feel like giving up on my goals.","Computer Science","Public Speaking|Communication","Afternoon|Morning","Intermediate","negative"
"User_013","1","0.34","0.48","I am struggling with the coursework and feel lost.","Data Science","Writing|Mentoring|Problem Solving","Afternoon|Evening|Weekends","Expert","negative"
