UserID,Mood,Engagement,EngagementDelta,Reflection,Domain,Skills,Experience,Availability,TrueSupport,sentiment_compound,sentiment_neg,sentiment_pos,negative_word_freq,academic_signal,withdrawal_signal,motivation_signal,text_length_norm,emotional_score,academic_score,motivational_score,PredictedSupport,SupportConfidence
User_0001,2.8,0.11,-0.28,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Research, Time Management, Writing, Presentation",Beginner,Flexible,Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0002,3.4,0.1,-0.1,Today was hard. I felt very lonely and couldn't concentrate.,Data Science,"Presentation, Project Management, Time Management",Advanced,"Night, Afternoon, Flexible",Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,8.5,3.0,1.0,Emotional,0.85
User_0003,4.2,0.55,-0.03,I know what I need to do but I just can't get myself started.,Biology,"Research, Programming, Problem Solving",Expert,Morning,Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.0,Motivational,0.6
User_0004,9.3,0.85,0.17,Today was balanced. Making good progress overall.,Data Science,"Time Management, Data Analysis",Advanced,Weekends,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,None,0.0
User_0005,1.8,0.32,-0.21,I don't feel motivated at all and keep withdrawing from activities.,Computer Science,"Programming, Communication, Statistics",Expert,Morning,Emotional,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,4.5,5.0,1.0,Academic,0.5
User_0006,5.2,0.34,0.04,I want to improve but can't find the motivation to push forward.,Engineering,"Presentation, Project Management, Teamwork, Statistics",Intermediate,"Flexible, Afternoon, Weekends",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.2333,0.0,4.0,4.5,Motivational,0.45
User_0007,4.5,0.58,0.03,"I feel neutral — not bad, just stuck and unmotivated.",Computer Science,"Teamwork, Python, Programming",Beginner,"Night, Evening",Motivational,-0.8,0.2,0.0,0.2,0.0,0.0,0.4,0.1667,4.0,0.0,5.5,Motivational,0.55
User_0008,5.7,0.3,-0.13,I need a study partner who can explain things differently.,Physics,"Time Management, Project Management, Leadership, Writing, Communication",Advanced,Afternoon,Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,8.0,3.0,Academic,0.8
User_0009,4.6,0.5,-0.14,I'm struggling to understand the core concepts in my coursework.,Psychology,"Statistics, Programming, Python, Time Management, Writing",Expert,"Afternoon, Night, Morning",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,4.0,4.0,4.0,Emotional,0.4
User_0010,1.0,0.35,-0.12,I've been struggling with anxiety and can't focus on anything.,Data Science,"Programming, Project Management, Problem Solving, Statistics",Expert,"Night, Afternoon",Emotional,-0.6668,0.1667,0.0,0.1667,0.0,0.0,0.0,0.2,7.0,5.0,0.0,Emotional,0.7
User_0011,2.8,0.27,-0.27,I don't feel motivated at all and keep withdrawing from activities.,Biology,"Writing, Problem Solving, Programming",Beginner,Weekends,Emotional,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,4.5,5.0,1.0,Academic,0.5
User_0012,6.0,0.59,-0.04,I keep procrastinating and need someone to hold me accountable.,Engineering,"Research, Machine Learning",Expert,Morning,Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,0.0,0.0,7.5,Motivational,0.75
User_0013,5.6,0.29,-0.12,I need a study partner who can explain things differently.,Physics,"Communication, Critical Thinking, Machine Learning",Intermediate,"Afternoon, Weekends",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,8.0,3.0,Academic,0.8
User_0014,8.4,0.6,0.14,Things are going okay. Just checking in today.,Data Science,"Statistics, Research, Teamwork, Time Management, Problem Solving",Intermediate,Weekends,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0015,4.3,0.32,-0.14,I don't understand how to approach the research methodology.,Mathematics,"Teamwork, Problem Solving",Intermediate,Weekends,Academic,-0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1667,1.5,7.0,3.0,Academic,0.7
User_0016,6.1,0.17,-0.12,I failed my last assignment and don't know where to improve.,Physics,"Research, Statistics, Teamwork, Project Management, Data Analysis",Expert,"Night, Flexible",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,8.0,3.0,Academic,0.8
User_0017,1.4,0.16,-0.18,Everything seems too much. I feel isolated and exhausted.,Literature,"Programming, Teamwork, Statistics, Research",Expert,Afternoon,Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,10.0,5.0,0.0,Emotional,1.0
User_0018,7.6,0.79,0.17,Things are going okay. Just checking in today.,Data Science,"Python, Project Management",Intermediate,"Morning, Flexible, Afternoon",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0019,4.0,0.25,-0.06,I'm struggling to understand the core concepts in my coursework.,Literature,"Data Analysis, Communication",Expert,"Evening, Night",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,7.0,5.0,1.0,Emotional,0.7
User_0020,6.1,0.27,-0.14,I want to improve but can't find the motivation to push forward.,Computer Science,"Machine Learning, Leadership",Beginner,"Weekends, Afternoon, Morning",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.2333,1.5,6.0,4.5,Academic,0.6
User_0021,6.8,0.89,0.05,Pretty good day. Focused and productive.,Mathematics,"Machine Learning, Time Management, Python",Advanced,"Morning, Night, Evening",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0022,5.0,0.2,-0.18,I failed my last assignment and don't know where to improve.,Biology,"Problem Solving, Programming, Statistics, Python, Leadership",Intermediate,"Weekends, Morning, Flexible",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,8.0,3.0,Academic,0.8
User_0023,5.5,0.34,-0.06,I failed my last assignment and don't know where to improve.,Business,"Writing, Leadership, Critical Thinking, Presentation",Beginner,"Weekends, Flexible",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,0.0,6.0,4.0,Academic,0.6
User_0024,5.3,0.4,-0.21,I can't grasp the mathematical concepts no matter how hard I try.,Biology,"Time Management, Statistics",Advanced,"Weekends, Afternoon, Evening",Academic,-0.5716,0.1429,0.0,0.1429,0.1429,0.0,0.0,0.2333,3.0,8.0,2.0,Academic,0.8
User_0025,7.3,0.65,0.2,Feeling alright. Working through my tasks steadily.,Biology,"Statistics, Project Management",Beginner,"Evening, Morning",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0026,6.5,0.72,0.18,Things are going okay. Just checking in today.,Data Science,"Critical Thinking, Python, Statistics, Programming, Writing",Expert,"Morning, Evening, Afternoon",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0027,6.2,0.59,0.01,I need a push to stay consistent with my goals.,Engineering,"Project Management, Statistics, Problem Solving",Intermediate,"Night, Weekends, Afternoon",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1667,0.0,0.0,6.5,Motivational,0.65
User_0028,2.1,0.11,-0.18,I feel hopeless about my progress and don't see a way forward.,Psychology,"Programming, Data Analysis, Time Management, Project Management",Beginner,"Afternoon, Evening, Flexible",Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0029,7.6,0.71,0.01,Everything is fine. Learning and growing steadily.,Business,"Teamwork, Programming, Research, Time Management",Intermediate,Flexible,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
